country,lead_time,parking_spaces,hotel,y_pred,y_pred_proba,timestamp
UNK,7,0,Resort Hotel,0,0.47487860263174553,2016-10-02
PRT,24,0,City Hotel,1,0.6958593123650985,2016-10-02
PRT,3,0,City Hotel,1,0.7613576596355415,2016-10-02
ESP,6,0,City Hotel,0,0.161573744399027,2016-10-02
DEU,17,0,City Hotel,0,0.13560325690239586,2016-10-02
ESP,6,0,City Hotel,0,0.161573744399027,2016-10-02
USA,33,0,City Hotel,0,0.3374366582573141,2016-10-02
FRA,11,0,City Hotel,0,0.26489270364197043,2016-10-02
AUT,7,0,City Hotel,0,0.06047094206388587,2016-10-02
PRT,40,0,City Hotel,1,0.6810845009031028,2016-10-02
ESP,18,0,City Hotel,0,0.13560325690239586,2016-10-02
DEU,58,1,Resort Hotel,0,0.0034860191862207015,2016-10-02
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-02
UNK,0,1,Resort Hotel,0,0.008181215573431452,2016-10-02
ESP,167,0,Resort Hotel,0,0.019234145342773023,2016-10-02
NLD,5,0,City Hotel,0,0.1411391525220319,2016-10-02
FRA,10,0,City Hotel,0,0.26489270364197043,2016-10-02
DEU,89,0,City Hotel,0,0.052541715557134015,2016-10-02
CYP,17,0,City Hotel,0,0.24075363145764586,2016-10-02
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-02
NLD,170,0,City Hotel,0,0.018635069693747557,2016-10-02
FRA,11,0,City Hotel,0,0.26489270364197043,2016-10-02
PRT,2,1,Resort Hotel,0,0.00661873799602207,2016-10-02
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-02
DEU,28,0,City Hotel,0,0.13560325690239586,2016-10-02
PER,49,0,City Hotel,0,0.23808182660999488,2016-10-02
PER,49,0,City Hotel,0,0.23808182660999488,2016-10-02
PRT,44,0,City Hotel,1,0.6810845009031028,2016-10-02
UNK,0,1,Resort Hotel,0,0.008181215573431452,2016-10-02
NLD,7,0,City Hotel,0,0.1411391525220319,2016-10-02
PRT,4,0,City Hotel,1,0.7294953430180765,2016-10-02
BRA,7,0,City Hotel,0,0.4394996822260939,2016-10-02
AUS,42,0,City Hotel,0,0.05969302126539266,2016-10-02
PRT,12,0,City Hotel,1,0.7059967484226786,2016-10-02
PRT,0,0,Resort Hotel,1,0.6407749232603864,2016-10-02
SWE,0,0,Resort Hotel,0,0.09275894923886882,2016-10-02
NLD,26,1,City Hotel,0,0.006165750017741487,2016-10-02
FRA,26,0,City Hotel,0,0.2779955930516886,2016-10-02
ESP,11,0,Resort Hotel,0,0.0972160901028098,2016-10-02
GBR,2,0,Resort Hotel,0,0.08692876520480511,2016-10-02
CN,21,0,City Hotel,0,0.04601677241517309,2016-10-02
FRA,17,0,City Hotel,0,0.2779955930516886,2016-10-02
BRA,25,0,City Hotel,0,0.45588322838751566,2016-10-02
NLD,38,0,City Hotel,0,0.10822924154242015,2016-10-02
BRA,150,0,City Hotel,0,0.22275075759863588,2016-10-02
BRA,150,0,City Hotel,0,0.22275075759863588,2016-10-02
BRA,150,0,City Hotel,0,0.22275075759863588,2016-10-02
ESP,20,0,City Hotel,0,0.13560325690239586,2016-10-02
BEL,17,0,City Hotel,0,0.12579811588380674,2016-10-02
FRA,28,0,City Hotel,0,0.2779955930516886,2016-10-02
CHN,201,0,City Hotel,0,0.27715172128448523,2016-10-02
FRA,20,0,City Hotel,0,0.2779955930516886,2016-10-02
FRA,11,0,City Hotel,0,0.26489270364197043,2016-10-02
FRA,4,0,City Hotel,0,0.2880963199581597,2016-10-02
GBR,39,0,City Hotel,0,0.257105370610523,2016-10-02
PRT,25,0,Resort Hotel,1,0.5985133536906496,2016-10-02
USA,0,1,Resort Hotel,0,0.0028194867137755738,2016-10-02
LUX,215,0,City Hotel,0,0.25545388340256775,2016-10-02
ESP,25,0,Resort Hotel,0,0.08059571331767551,2016-10-02
ESP,25,0,Resort Hotel,0,0.08059571331767551,2016-10-02
PRT,14,1,Resort Hotel,0,0.006007771481601029,2016-10-02
FRA,14,1,Resort Hotel,0,0.003476627184484013,2016-10-02
IRL,32,0,Resort Hotel,0,0.060367048829450994,2016-10-02
ESP,46,0,Resort Hotel,0,0.07951514521127646,2016-10-02
PRT,135,1,Resort Hotel,0,0.005006726994990006,2016-10-02
CN,129,0,Resort Hotel,0,0.004600214588850793,2016-10-02
IRL,179,0,Resort Hotel,0,0.014169228808458242,2016-10-02
GBR,41,0,Resort Hotel,0,0.07466011589811253,2016-10-02
RUS,55,0,Resort Hotel,0,0.41850574441460203,2016-10-02
GBR,39,0,City Hotel,0,0.257105370610523,2016-10-02
PRT,5,0,City Hotel,1,0.7059967484226786,2016-10-02
GBR,140,0,City Hotel,0,0.10195031435959266,2016-10-02
DEU,35,0,City Hotel,0,0.13389259009391052,2016-10-02
GBR,39,0,Resort Hotel,0,0.07466011589811253,2016-10-02
FRA,13,0,Resort Hotel,0,0.11376181447116367,2016-10-02
ITA,38,0,City Hotel,0,0.22962329131655243,2016-10-02
FRA,13,0,City Hotel,0,0.2779955930516886,2016-10-02
GBR,155,0,City Hotel,0,0.11408044204856682,2016-10-02
DEU,107,0,City Hotel,0,0.052541715557134015,2016-10-02
DEU,107,0,City Hotel,0,0.052541715557134015,2016-10-02
GBR,67,0,Resort Hotel,0,0.05721835500131987,2016-10-02
BEL,60,0,Resort Hotel,0,0.06411567628536692,2016-10-02
BEL,60,0,Resort Hotel,0,0.06411567628536692,2016-10-02
PRT,0,0,Resort Hotel,1,0.6407749232603864,2016-10-02
COL,4,0,Resort Hotel,0,0.10696976018698952,2016-10-02
GBR,118,0,Resort Hotel,0,0.05227245022917012,2016-10-02
FRA,11,1,City Hotel,0,0.00870720096338451,2016-10-02
ESP,11,1,Resort Hotel,0,0.004539073951446493,2016-10-02
GBR,341,0,Resort Hotel,0,0.023308489909845753,2016-10-02
DEU,200,0,City Hotel,0,0.02361643549576232,2016-10-02
GBR,259,0,City Hotel,0,0.04134429044409885,2016-10-02
DEU,127,0,City Hotel,0,0.03471863166360978,2016-10-02
USA,40,0,City Hotel,0,0.33416413304146486,2016-10-02
PRT,182,0,Resort Hotel,0,0.4532357020042472,2016-10-02
DEU,28,0,City Hotel,0,0.13560325690239586,2016-10-02
BEL,21,0,City Hotel,0,0.12579811588380674,2016-10-02
BRA,137,0,City Hotel,0,0.20169644508248732,2016-10-02
GBR,26,0,City Hotel,0,0.2599178338323412,2016-10-02
ISR,6,1,City Hotel,0,0.007509292218083851,2016-10-02
DEU,166,0,City Hotel,0,0.02361643549576232,2016-10-02
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-02
DEU,31,0,City Hotel,0,0.13560325690239586,2016-10-02
CHE,6,0,City Hotel,0,0.33318419279174605,2016-10-02
IRL,89,0,City Hotel,0,0.04946398919890302,2016-10-02
PRT,1,0,City Hotel,1,0.8422956635560859,2016-10-02
IRL,92,0,City Hotel,0,0.04946398919890302,2016-10-02
DEU,84,0,City Hotel,0,0.08506453112215052,2016-10-02
IRL,91,0,City Hotel,0,0.04946398919890302,2016-10-02
GBR,267,0,Resort Hotel,0,0.014379092661960037,2016-10-03
GBR,297,0,Resort Hotel,0,0.023308489909845753,2016-10-03
GBR,267,0,Resort Hotel,0,0.014379092661960037,2016-10-03
BEL,53,0,City Hotel,0,0.12419337129906698,2016-10-03
BRA,51,0,City Hotel,0,0.4388515980072245,2016-10-03
FRA,2,0,City Hotel,0,0.3237537396614964,2016-10-03
PRT,15,0,City Hotel,1,0.6958593123650985,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
BEL,28,0,City Hotel,0,0.12579811588380674,2016-10-03
BEL,53,0,City Hotel,0,0.12419337129906698,2016-10-03
GBR,5,1,Resort Hotel,0,0.003234006896890161,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
FRA,31,0,City Hotel,0,0.2779955930516886,2016-10-03
FRA,162,0,Resort Hotel,0,0.054192475612339225,2016-10-03
BEL,41,0,City Hotel,0,0.12419337129906698,2016-10-03
SRB,227,0,City Hotel,0,0.058335857826483664,2016-10-03
BRA,30,0,City Hotel,0,0.45588322838751566,2016-10-03
CHE,6,0,City Hotel,0,0.33318419279174605,2016-10-03
FRA,148,0,City Hotel,0,0.14665961389155507,2016-10-03
DEU,174,0,City Hotel,0,0.02361643549576232,2016-10-03
GBR,2,1,Resort Hotel,0,0.003477732565915869,2016-10-03
FRA,34,1,City Hotel,0,0.009520010029645861,2016-10-03
FRA,34,0,City Hotel,0,0.27506021935924946,2016-10-03
FRA,20,0,City Hotel,0,0.2779955930516886,2016-10-03
FRA,20,0,City Hotel,0,0.2779955930516886,2016-10-03
FRA,131,0,City Hotel,0,0.13157986062002142,2016-10-03
BRA,7,0,City Hotel,0,0.4394996822260939,2016-10-03
GBR,214,0,City Hotel,0,0.08331536941038942,2016-10-03
BEL,0,0,Resort Hotel,0,0.10713222798090644,2016-10-03
IRL,140,0,Resort Hotel,0,0.014515868339819007,2016-10-03
USA,0,1,Resort Hotel,0,0.0028194867137755738,2016-10-03
IRL,162,0,Resort Hotel,0,0.016433341671880482,2016-10-03
IRL,215,0,Resort Hotel,0,0.016823147295991242,2016-10-03
PRT,4,0,Resort Hotel,1,0.620633999200891,2016-10-03
NLD,71,1,City Hotel,0,0.004154978968959737,2016-10-03
GBR,207,0,Resort Hotel,0,0.025174959896433556,2016-10-03
GBR,207,0,City Hotel,0,0.0709287698255948,2016-10-03
GBR,215,0,Resort Hotel,0,0.029827898162342666,2016-10-03
GBR,0,0,Resort Hotel,0,0.09396987305221287,2016-10-03
AUT,5,0,City Hotel,0,0.06047094206388587,2016-10-03
DEU,1,0,City Hotel,0,0.42562540493648404,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
PRT,11,0,City Hotel,1,0.7059967484226786,2016-10-03
PRT,11,0,City Hotel,1,0.7059967484226786,2016-10-03
GBR,0,1,Resort Hotel,0,0.004141754965629651,2016-10-03
IRL,60,0,Resort Hotel,0,0.05189543766270379,2016-10-03
CHN,207,0,City Hotel,0,0.27715172128448523,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
FRA,21,0,City Hotel,0,0.2779955930516886,2016-10-03
IRL,0,1,Resort Hotel,0,0.004904355105044494,2016-10-03
PRT,0,1,Resort Hotel,0,0.007123345744162655,2016-10-03
GBR,162,0,Resort Hotel,0,0.029145694938298283,2016-10-03
ESP,0,0,Resort Hotel,0,0.15187198665820933,2016-10-03
ESP,0,1,Resort Hotel,0,0.0076441791749116555,2016-10-03
IRL,162,0,Resort Hotel,0,0.016433341671880482,2016-10-03
BRA,1,0,Resort Hotel,0,0.43639949264995537,2016-10-03
BRA,1,1,Resort Hotel,0,0.008750013971580317,2016-10-03
FRA,162,1,Resort Hotel,0,0.0019217258514832478,2016-10-03
IRL,162,0,Resort Hotel,0,0.016433341671880482,2016-10-03
ITA,14,0,City Hotel,0,0.23222910491781568,2016-10-03
ISR,31,0,City Hotel,0,0.24024589336021443,2016-10-03
PRT,5,0,City Hotel,1,0.7059967484226786,2016-10-03
CHN,207,0,City Hotel,0,0.27715172128448523,2016-10-03
RUS,32,0,City Hotel,1,0.5963406724041849,2016-10-03
DEU,164,0,City Hotel,0,0.03919863898531555,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
CHN,207,0,City Hotel,0,0.27715172128448523,2016-10-03
ITA,144,0,City Hotel,0,0.0772552086206244,2016-10-03
USA,122,0,City Hotel,0,0.16236443183989516,2016-10-03
IND,12,0,City Hotel,1,0.596183024959949,2016-10-03
EGY,21,0,City Hotel,0,0.24075363145764586,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
PRT,8,0,Resort Hotel,1,0.6100773219243502,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
FRA,21,0,City Hotel,0,0.2779955930516886,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
GBR,41,0,Resort Hotel,0,0.07466011589811253,2016-10-03
IRL,163,0,Resort Hotel,0,0.016433341671880482,2016-10-03
IRL,0,0,City Hotel,0,0.2327282306690082,2016-10-03
ISR,31,0,City Hotel,0,0.24024589336021443,2016-10-03
BEL,0,0,Resort Hotel,0,0.10713222798090644,2016-10-03
IRL,118,0,Resort Hotel,0,0.029782436005092755,2016-10-03
FRA,20,0,City Hotel,0,0.2779955930516886,2016-10-03
POL,3,0,Resort Hotel,0,0.08225008053719852,2016-10-03
GBR,146,0,Resort Hotel,0,0.029145694938298283,2016-10-03
BEL,50,0,City Hotel,0,0.12419337129906698,2016-10-03
USA,45,0,City Hotel,0,0.33416413304146486,2016-10-03
AUS,2,0,City Hotel,0,0.10249755565968893,2016-10-03
GBR,9,0,City Hotel,0,0.2606740608812867,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
ITA,21,0,City Hotel,0,0.23222910491781568,2016-10-03
FRA,50,1,City Hotel,0,0.009520010029645861,2016-10-03
NLD,6,0,City Hotel,0,0.1411391525220319,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
DEU,349,0,City Hotel,0,0.017318485212676638,2016-10-03
DEU,31,0,City Hotel,0,0.13560325690239586,2016-10-03
CHE,15,0,City Hotel,0,0.3225273873812607,2016-10-03
ITA,47,0,City Hotel,0,0.22962329131655243,2016-10-03
PRT,349,0,City Hotel,0,0.26736303046374077,2016-10-03
GBR,5,0,City Hotel,0,0.2606740608812867,2016-10-04
DEU,228,0,City Hotel,0,0.027989591651146693,2016-10-04
EGY,30,0,City Hotel,0,0.24075363145764586,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,22,0,City Hotel,0,0.2779955930516886,2016-10-04
AUT,37,0,City Hotel,0,0.04537693205207188,2016-10-04
DEU,228,0,City Hotel,0,0.027989591651146693,2016-10-04
SWE,163,0,City Hotel,0,0.053210564942079715,2016-10-04
SWE,163,0,City Hotel,0,0.053210564942079715,2016-10-04
DEU,135,1,City Hotel,0,0.0017680730137350786,2016-10-04
ESP,163,0,City Hotel,0,0.03919863898531555,2016-10-04
USA,49,0,City Hotel,0,0.33416413304146486,2016-10-04
FRA,22,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,22,0,City Hotel,0,0.2779955930516886,2016-10-04
AUT,51,0,City Hotel,0,0.04537693205207188,2016-10-04
ITA,174,0,City Hotel,0,0.04728938657490366,2016-10-04
ISR,50,1,City Hotel,0,0.00821120389546967,2016-10-04
PRT,5,0,City Hotel,1,0.7059967484226786,2016-10-04
ITA,19,0,City Hotel,0,0.23222910491781568,2016-10-04
BEL,22,0,City Hotel,0,0.12579811588380674,2016-10-04
BEL,56,0,City Hotel,0,0.12419337129906698,2016-10-04
DEU,225,0,City Hotel,0,0.027989591651146693,2016-10-04
BEL,27,0,City Hotel,0,0.12579811588380674,2016-10-04
JPN,30,0,City Hotel,0,0.06041616560528804,2016-10-04
SWE,163,0,City Hotel,0,0.053210564942079715,2016-10-04
FRA,2,0,City Hotel,0,0.3237537396614964,2016-10-04
GBR,29,0,City Hotel,0,0.2599178338323412,2016-10-04
DEU,44,0,City Hotel,0,0.13389259009391052,2016-10-04
DEU,0,0,City Hotel,0,0.20950825009107177,2016-10-04
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-04
DEU,1,0,City Hotel,0,0.42562540493648404,2016-10-04
USA,164,0,City Hotel,0,0.18024001127028508,2016-10-04
HUN,34,0,City Hotel,0,0.09930119671642458,2016-10-04
NLD,7,0,City Hotel,0,0.1411391525220319,2016-10-04
PRT,16,0,City Hotel,1,0.6958593123650985,2016-10-04
GBR,16,0,City Hotel,0,0.2599178338323412,2016-10-04
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-04
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-04
USA,185,0,City Hotel,0,0.09935878130843716,2016-10-04
GBR,185,0,City Hotel,0,0.0709287698255948,2016-10-04
GBR,16,0,City Hotel,0,0.2599178338323412,2016-10-04
FRA,25,0,City Hotel,0,0.2779955930516886,2016-10-04
ITA,41,0,City Hotel,0,0.22962329131655243,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
DEU,220,0,City Hotel,0,0.027989591651146693,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
BEL,21,0,City Hotel,0,0.12579811588380674,2016-10-04
GBR,29,0,City Hotel,0,0.2599178338323412,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
FRA,29,0,City Hotel,0,0.2779955930516886,2016-10-04
PRT,0,1,City Hotel,0,0.01229954469078806,2016-10-04
PRT,29,0,City Hotel,1,0.6958593123650985,2016-10-04
DEU,228,0,City Hotel,0,0.027989591651146693,2016-10-04
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-04
GBR,7,0,Resort Hotel,0,0.07595533543957972,2016-10-04
ISR,33,0,City Hotel,0,0.24024589336021443,2016-10-04
POL,29,0,City Hotel,0,0.13560325690239586,2016-10-04
PRT,1,1,Resort Hotel,0,0.010662235813697763,2016-10-04
PRT,0,0,City Hotel,1,0.7712137568081386,2016-10-04
GBR,7,0,Resort Hotel,0,0.07595533543957972,2016-10-04
GBR,7,0,Resort Hotel,0,0.07595533543957972,2016-10-04
GBR,7,1,Resort Hotel,0,0.003234006896890161,2016-10-04
GBR,78,0,Resort Hotel,0,0.0531771612948068,2016-10-04
DEU,228,0,City Hotel,0,0.027989591651146693,2016-10-04
ESP,0,0,City Hotel,0,0.2829357079919681,2016-10-04
ESP,0,0,Resort Hotel,0,0.15187198665820933,2016-10-04
ESP,0,1,Resort Hotel,0,0.0076441791749116555,2016-10-04
PRT,60,0,Resort Hotel,1,0.581851262287124,2016-10-04
USA,0,1,Resort Hotel,0,0.0028194867137755738,2016-10-04
BRA,271,0,City Hotel,0,0.05389391242556941,2016-10-04
GBR,213,0,City Hotel,0,0.08331536941038942,2016-10-04
PRT,58,0,Resort Hotel,1,0.581851262287124,2016-10-04
PRT,9,0,Resort Hotel,1,0.6100773219243502,2016-10-04
PRT,22,0,Resort Hotel,1,0.5985133536906496,2016-10-04
GBR,0,1,Resort Hotel,0,0.004141754965629651,2016-10-04
PRT,1,0,Resort Hotel,1,0.7456242794489204,2016-10-04
USA,59,1,Resort Hotel,0,0.0036503716074006106,2016-10-04
ROU,228,0,City Hotel,0,0.009988384760612066,2016-10-04
ESP,0,0,City Hotel,0,0.2829357079919681,2016-10-04
