country,lead_time,parking_spaces,hotel,y_pred,y_pred_proba,is_canceled,timestamp
ITA,180,0,City Hotel,0,0.04728938657490366,0,2016-05-01
PRT,3,1,City Hotel,0,0.01065897899809133,0,2016-05-01
ITA,82,0,City Hotel,0,0.17583751569025494,0,2016-05-01
ESP,12,0,City Hotel,0,0.14137264021674306,0,2016-05-01
PRT,23,0,City Hotel,1,0.6958593123650985,0,2016-05-01
PRT,113,0,City Hotel,1,0.6980161011992432,0,2016-05-01
PRT,105,0,City Hotel,1,0.6980161011992432,0,2016-05-01
BOL,19,0,City Hotel,0,0.24075363145764586,0,2016-05-01
BOL,19,0,City Hotel,0,0.24075363145764586,0,2016-05-01
PRT,3,0,City Hotel,1,0.7613576596355415,0,2016-05-01
PRT,3,0,City Hotel,1,0.7613576596355415,0,2016-05-01
BOL,0,0,City Hotel,0,0.25860817155607274,0,2016-05-01
BOL,19,0,City Hotel,0,0.24075363145764586,0,2016-05-01
BOL,19,0,City Hotel,0,0.24075363145764586,0,2016-05-01
BOL,19,0,City Hotel,0,0.24075363145764586,0,2016-05-01
BOL,19,0,City Hotel,0,0.24075363145764586,0,2016-05-01
IRL,121,0,City Hotel,0,0.03264894839521839,0,2016-05-01
GBR,153,0,City Hotel,0,0.11408044204856682,0,2016-05-01
DEU,79,0,City Hotel,0,0.09417472160872421,0,2016-05-01
FRA,84,0,City Hotel,0,0.22788247892344035,0,2016-05-01
DEU,88,0,City Hotel,0,0.052541715557134015,0,2016-05-01
FRA,108,0,City Hotel,0,0.18937229866791463,0,2016-05-01
BEL,110,0,City Hotel,0,0.048406217412917334,0,2016-05-01
FRA,24,0,City Hotel,0,0.2779955930516886,0,2016-05-01
AUS,31,0,City Hotel,0,0.06052192858065906,0,2016-05-01
GBR,108,1,Resort Hotel,0,0.0015838808953459419,0,2016-05-01
ITA,15,0,Resort Hotel,0,0.09429763916213246,0,2016-05-01
GBR,108,1,Resort Hotel,0,0.0015838808953459419,0,2016-05-01
CHE,143,0,City Hotel,0,0.1521878901912607,0,2016-05-01
AUS,31,0,City Hotel,0,0.06052192858065906,0,2016-05-01
BOL,19,0,City Hotel,0,0.24075363145764586,0,2016-05-01
IRL,122,0,City Hotel,0,0.03264894839521839,0,2016-05-01
FRA,126,0,City Hotel,0,0.13157986062002142,0,2016-05-01
BEL,79,0,City Hotel,0,0.08706345563154971,0,2016-05-01
BOL,19,0,City Hotel,0,0.24075363145764586,0,2016-05-01
BOL,19,0,City Hotel,0,0.24075363145764586,0,2016-05-01
ITA,29,0,Resort Hotel,0,0.09429763916213246,0,2016-05-01
NLD,109,0,Resort Hotel,0,0.017180548434971365,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
IRL,117,0,Resort Hotel,0,0.029782436005092755,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
ITA,35,0,Resort Hotel,0,0.09305195833068897,0,2016-05-01
ITA,35,0,Resort Hotel,0,0.09305195833068897,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
IRL,110,0,Resort Hotel,0,0.022206294578108514,0,2016-05-01
POL,103,0,Resort Hotel,0,0.021781733956424597,0,2016-05-01
POL,103,0,Resort Hotel,0,0.021781733956424597,0,2016-05-01
PRT,136,0,Resort Hotel,1,0.5009440970575589,0,2016-05-01
NLD,109,0,Resort Hotel,0,0.017180548434971365,0,2016-05-01
IRL,203,0,Resort Hotel,0,0.014169228808458242,0,2016-05-01
IRL,215,0,Resort Hotel,0,0.016823147295991242,0,2016-05-01
GBR,118,0,Resort Hotel,0,0.05227245022917012,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
GBR,98,0,Resort Hotel,0,0.03819242643154838,0,2016-05-01
GBR,98,0,Resort Hotel,0,0.03819242643154838,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
DEU,199,0,Resort Hotel,0,0.017727821655116806,0,2016-05-01
RUS,35,1,Resort Hotel,0,0.0030961375373899824,0,2016-05-01
ESP,35,0,Resort Hotel,0,0.07951514521127646,0,2016-05-01
GBR,6,1,Resort Hotel,0,0.003234006896890161,0,2016-05-01
GBR,226,0,Resort Hotel,0,0.029827898162342666,0,2016-05-01
GBR,3,0,Resort Hotel,0,0.08692876520480511,0,2016-05-01
GBR,13,1,Resort Hotel,0,0.003298703648187859,0,2016-05-01
PRT,35,0,Resort Hotel,1,0.581851262287124,0,2016-05-01
PRT,33,0,Resort Hotel,1,0.5854167544985515,0,2016-05-01
GBR,201,0,Resort Hotel,0,0.025174959896433556,0,2016-05-01
ITA,35,0,Resort Hotel,0,0.09305195833068897,0,2016-05-01
IRL,75,0,Resort Hotel,0,0.04083819091860532,0,2016-05-01
IRL,75,0,Resort Hotel,0,0.04083819091860532,0,2016-05-01
CHE,85,0,City Hotel,0,0.30223201344445,0,2016-05-02
TWN,104,0,City Hotel,0,0.10658833503805691,0,2016-05-02
ROU,2,0,Resort Hotel,0,0.03294295556343898,0,2016-05-02
GBR,288,0,Resort Hotel,0,0.023308489909845753,0,2016-05-02
GBR,188,0,Resort Hotel,0,0.025174959896433556,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,49,0,Resort Hotel,1,0.581851262287124,1,2016-05-02
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-02
PRT,10,0,Resort Hotel,1,0.6100773219243502,0,2016-05-02
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-02
GBR,33,0,City Hotel,0,0.2599178338323412,0,2016-05-02
PRT,117,0,City Hotel,1,0.7625023821703651,0,2016-05-02
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-02
GBR,288,0,Resort Hotel,0,0.023308489909845753,0,2016-05-02
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-02
PRT,1,0,City Hotel,1,0.8422956635560859,0,2016-05-02
PRT,166,0,City Hotel,0,0.4671795260045603,0,2016-05-02
PRT,10,0,City Hotel,1,0.7059967484226786,0,2016-05-02
PRT,5,0,City Hotel,1,0.7059967484226786,0,2016-05-02
DNK,122,0,City Hotel,0,0.09628295791227853,0,2016-05-02
FRA,147,0,City Hotel,0,0.14665961389155507,0,2016-05-02
DEU,98,0,City Hotel,0,0.052541715557134015,0,2016-05-02
PRT,166,0,City Hotel,0,0.4671795260045603,0,2016-05-02
FRA,0,0,City Hotel,0,0.3533589140065247,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
GBR,188,0,Resort Hotel,0,0.025174959896433556,0,2016-05-02
IND,102,0,City Hotel,0,0.40978930365897265,0,2016-05-02
GBR,98,0,City Hotel,0,0.1455385614544664,0,2016-05-02
DEU,145,0,City Hotel,0,0.03919863898531555,0,2016-05-02
DEU,145,0,City Hotel,0,0.03919863898531555,0,2016-05-02
DEU,98,0,City Hotel,0,0.052541715557134015,0,2016-05-02
PRT,112,0,Resort Hotel,1,0.6009646039954705,0,2016-05-02
PRT,10,0,City Hotel,1,0.7059967484226786,0,2016-05-02
PRT,1,0,Resort Hotel,1,0.7456242794489204,0,2016-05-02
PRT,56,0,City Hotel,1,0.6810845009031028,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
FRA,1,0,City Hotel,0,0.46404331299736207,0,2016-05-02
ESP,0,1,Resort Hotel,0,0.0076441791749116555,0,2016-05-02
PRT,5,0,Resort Hotel,1,0.6100773219243502,0,2016-05-02
IRL,76,1,Resort Hotel,0,0.001992641362541131,0,2016-05-02
PRT,10,0,Resort Hotel,1,0.6100773219243502,0,2016-05-02
ROU,157,0,City Hotel,0,0.014092974506295606,0,2016-05-02
PRT,166,0,City Hotel,0,0.4671795260045603,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,73,0,Resort Hotel,1,0.51978203680341,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
DEU,0,0,Resort Hotel,0,0.09965835251696689,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-02
FIN,1,0,City Hotel,0,0.18321477402826855,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-02
ARG,1,0,Resort Hotel,0,0.3596893911451702,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
ARG,29,0,Resort Hotel,0,0.22220762901328422,0,2016-05-02
PRT,19,0,City Hotel,1,0.6958593123650985,0,2016-05-02
DEU,10,0,Resort Hotel,0,0.09016404936539449,0,2016-05-02
PRI,5,0,Resort Hotel,0,0.10278306181725848,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
PRT,154,0,City Hotel,1,0.6360304992948599,0,2016-05-02
IRL,81,0,Resort Hotel,0,0.04083819091860532,0,2016-05-02
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-02
PRT,6,0,City Hotel,1,0.7059967484226786,0,2016-05-02
PRT,19,0,City Hotel,1,0.6958593123650985,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
RUS,0,0,City Hotel,1,0.6321032599567672,0,2016-05-02
PRT,88,0,City Hotel,1,0.6980161011992432,0,2016-05-02
IRL,99,0,Resort Hotel,0,0.022206294578108514,0,2016-05-02
FRA,6,0,City Hotel,0,0.26489270364197043,0,2016-05-02
PRT,5,0,Resort Hotel,1,0.6100773219243502,0,2016-05-03
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-03
PRT,1,0,Resort Hotel,1,0.7456242794489204,0,2016-05-03
FRA,123,0,City Hotel,0,0.13157986062002142,0,2016-05-03
PRT,5,0,City Hotel,1,0.7059967484226786,0,2016-05-03
DEU,122,0,City Hotel,0,0.03471863166360978,0,2016-05-03
DEU,126,0,City Hotel,0,0.03471863166360978,0,2016-05-03
DEU,126,0,City Hotel,0,0.03471863166360978,0,2016-05-03
PRT,2,1,Resort Hotel,0,0.00661873799602207,0,2016-05-03
DEU,126,0,City Hotel,0,0.03471863166360978,0,2016-05-03
FRA,123,0,City Hotel,0,0.13157986062002142,0,2016-05-03
PRT,2,0,Resort Hotel,1,0.6444032368520228,0,2016-05-03
PRT,8,0,City Hotel,1,0.7059967484226786,1,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
GBR,2,1,Resort Hotel,0,0.003477732565915869,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
THA,74,1,Resort Hotel,0,0.008709659628077696,0,2016-05-03
BEL,108,0,City Hotel,0,0.048406217412917334,0,2016-05-03
PRT,0,0,City Hotel,1,0.7712137568081386,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
AUS,1,0,Resort Hotel,0,0.0959184881972603,0,2016-05-03
BEL,108,0,City Hotel,0,0.048406217412917334,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
FRA,91,0,Resort Hotel,0,0.07225557357968973,0,2016-05-03
GBR,72,0,Resort Hotel,0,0.0531771612948068,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
DEU,78,1,Resort Hotel,0,0.002347096619417678,0,2016-05-03
GBR,121,0,Resort Hotel,0,0.025783804375582694,0,2016-05-03
MEX,9,0,City Hotel,1,0.5232647067798082,0,2016-05-03
ESP,0,1,Resort Hotel,0,0.0076441791749116555,0,2016-05-03
GBR,98,1,City Hotel,0,0.0062111307622884455,0,2016-05-03
PRT,3,1,Resort Hotel,0,0.00661873799602207,0,2016-05-03
FRA,12,1,Resort Hotel,0,0.0031781405723740833,0,2016-05-03
SWE,98,0,Resort Hotel,0,0.02898359599331683,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
PRT,6,0,Resort Hotel,1,0.6100773219243502,0,2016-05-03
CHE,38,1,Resort Hotel,0,0.005132576679017063,0,2016-05-03
CHE,38,0,Resort Hotel,0,0.18007384189652403,0,2016-05-03
CHE,108,0,City Hotel,0,0.19614054509818216,0,2016-05-03
ESP,1,0,Resort Hotel,0,0.2585878321343127,0,2016-05-03
NOR,1,1,Resort Hotel,0,0.006390844119190458,0,2016-05-03
SWE,104,0,City Hotel,0,0.06919457951453163,0,2016-05-03
NOR,1,0,Resort Hotel,0,0.08978702652714375,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
CHE,7,0,City Hotel,0,0.33318419279174605,0,2016-05-03
ARM,104,0,Resort Hotel,0,0.0394466273617815,0,2016-05-03
DEU,147,0,Resort Hotel,0,0.020548712464460304,0,2016-05-03
GBR,7,0,Resort Hotel,0,0.07595533543957972,0,2016-05-03
PRT,5,1,City Hotel,0,0.008656358662245017,0,2016-05-03
SWE,0,0,Resort Hotel,0,0.09275894923886882,0,2016-05-03
BRA,0,1,Resort Hotel,0,0.0033190536532505316,0,2016-05-03
AUT,128,0,City Hotel,0,0.011163326560611775,0,2016-05-03
JPN,7,0,Resort Hotel,0,0.03393112803594014,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
FRA,12,0,Resort Hotel,0,0.1072499579873095,0,2016-05-03
PRT,128,0,City Hotel,1,0.6063890875622843,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
CHE,25,1,Resort Hotel,0,0.0054170219726302656,0,2016-05-03
DEU,115,0,City Hotel,0,0.059232298183658424,0,2016-05-03
PRT,0,1,City Hotel,0,0.01229954469078806,0,2016-05-03
PRT,27,0,City Hotel,1,0.6958593123650985,0,2016-05-03
PRT,27,0,City Hotel,1,0.6958593123650985,0,2016-05-03
FRA,52,0,City Hotel,0,0.27506021935924946,0,2016-05-03
SWE,61,0,City Hotel,0,0.12693368684186437,0,2016-05-03
GBR,21,1,City Hotel,0,0.012871161080392136,0,2016-05-03
PRT,2,0,City Hotel,1,0.7613576596355415,0,2016-05-03
PRT,0,0,City Hotel,1,0.7712137568081386,0,2016-05-03
PRT,0,0,City Hotel,1,0.7712137568081386,0,2016-05-03
DEU,115,0,City Hotel,0,0.059232298183658424,0,2016-05-03
AUT,215,0,City Hotel,0,0.008957326196962996,0,2016-05-03
FRA,91,0,City Hotel,0,0.18937229866791463,0,2016-05-03
PRT,8,0,Resort Hotel,1,0.6100773219243502,0,2016-05-03
FRA,4,0,City Hotel,0,0.2880963199581597,0,2016-05-03
ITA,112,0,City Hotel,0,0.10217499744376171,0,2016-05-03
PRT,91,0,City Hotel,1,0.6980161011992432,0,2016-05-03
PRT,188,1,Resort Hotel,0,0.004807320525869452,0,2016-05-03
FRA,111,0,City Hotel,0,0.18937229866791463,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
FRA,116,0,City Hotel,0,0.2949245512062738,0,2016-05-03
PRT,0,0,City Hotel,1,0.7712137568081386,0,2016-05-03
FRA,112,0,City Hotel,0,0.18937229866791463,0,2016-05-03
FRA,12,0,Resort Hotel,0,0.1072499579873095,0,2016-05-03
GBR,212,0,Resort Hotel,0,0.029827898162342666,0,2016-05-03
CHE,109,0,City Hotel,0,0.19614054509818216,0,2016-05-03
FRA,162,0,City Hotel,0,0.14665961389155507,0,2016-05-03
PRT,215,0,City Hotel,1,0.510725324666734,0,2016-05-03
BEL,92,0,Resort Hotel,0,0.027639196626632792,0,2016-05-03
PRT,0,0,City Hotel,1,0.7712137568081386,0,2016-05-03
PRT,1,0,City Hotel,1,0.8422956635560859,0,2016-05-03
PRT,2,1,City Hotel,0,0.01065897899809133,0,2016-05-03
PRT,0,0,City Hotel,1,0.7712137568081386,0,2016-05-03
UNK,2,0,Resort Hotel,1,0.5115778685294988,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
PRT,2,1,City Hotel,0,0.01065897899809133,0,2016-05-03
PRT,103,0,City Hotel,1,0.6980161011992432,0,2016-05-03
PRT,2,1,City Hotel,0,0.01065897899809133,0,2016-05-03
FRA,103,0,City Hotel,0,0.18937229866791463,0,2016-05-03
SWE,104,0,City Hotel,0,0.06919457951453163,0,2016-05-03
SWE,104,0,City Hotel,0,0.06919457951453163,0,2016-05-03
PRT,1,0,Resort Hotel,1,0.7456242794489204,0,2016-05-03
IND,98,1,Resort Hotel,0,0.0016539392268113964,0,2016-05-03
GBR,163,1,Resort Hotel,0,0.0014981453238169923,0,2016-05-04
PRT,0,0,City Hotel,1,0.7712137568081386,0,2016-05-04
PRT,4,0,City Hotel,1,0.7294953430180765,0,2016-05-04
PRT,159,1,Resort Hotel,0,0.005675324331303668,0,2016-05-04
PRT,10,0,City Hotel,1,0.7059967484226786,0,2016-05-04
NOR,103,0,City Hotel,0,0.020734312159539855,0,2016-05-04
PRT,1,0,City Hotel,1,0.8422956635560859,0,2016-05-04
GBR,89,0,Resort Hotel,0,0.03819242643154838,0,2016-05-04
GBR,163,0,Resort Hotel,0,0.029145694938298283,0,2016-05-04
PRT,1,0,City Hotel,1,0.8422956635560859,0,2016-05-04
ROU,108,0,Resort Hotel,0,0.007731649000000032,0,2016-05-04
GBR,56,0,Resort Hotel,0,0.06734072155638035,0,2016-05-04
GBR,56,0,Resort Hotel,0,0.06734072155638035,0,2016-05-04
GBR,107,0,Resort Hotel,0,0.03819242643154838,0,2016-05-04
GBR,107,0,Resort Hotel,0,0.03819242643154838,0,2016-05-04
GBR,107,0,Resort Hotel,0,0.03819242643154838,0,2016-05-04
PRT,17,1,Resort Hotel,0,0.006007771481601029,0,2016-05-04
IRL,113,0,Resort Hotel,0,0.022206294578108514,0,2016-05-04
IRL,113,0,Resort Hotel,0,0.022206294578108514,0,2016-05-04
GBR,107,0,Resort Hotel,0,0.03819242643154838,0,2016-05-04
PRT,93,0,Resort Hotel,1,0.6009646039954705,0,2016-05-04
PRT,93,0,Resort Hotel,1,0.6009646039954705,0,2016-05-04
PRT,1,1,Resort Hotel,0,0.010662235813697763,0,2016-05-04
GBR,107,0,Resort Hotel,0,0.03819242643154838,0,2016-05-04
PRT,159,0,Resort Hotel,1,0.5324029945611779,0,2016-05-04
PRT,159,0,Resort Hotel,1,0.5324029945611779,0,2016-05-04
PRT,153,0,Resort Hotel,1,0.5324029945611779,0,2016-05-04
GBR,115,0,Resort Hotel,0,0.0442782677064198,0,2016-05-04
GBR,56,0,Resort Hotel,0,0.06734072155638035,0,2016-05-04
GBR,56,0,Resort Hotel,0,0.06734072155638035,0,2016-05-04
PRT,159,0,Resort Hotel,1,0.5324029945611779,0,2016-05-04
GBR,253,0,Resort Hotel,0,0.014379092661960037,0,2016-05-04
PRT,2,0,City Hotel,1,0.7613576596355415,0,2016-05-04
PRT,0,0,Resort Hotel,1,0.6407749232603864,0,2016-05-04
GBR,253,0,Resort Hotel,0,0.014379092661960037,0,2016-05-04
IRL,209,0,Resort Hotel,0,0.016823147295991242,0,2016-05-04
IRL,209,0,Resort Hotel,0,0.016823147295991242,0,2016-05-04
